sosa-description_en,sosa-description_fr,commodity-description_en,commodity-description_fr,commodity,supplier-standardized-name,supplier-legal-name,supplier-operating-name,end-user-entity_en,end-user-entity_fr,award-date,expiry-date,delivery-point-code,delivery-point_en,delivery-point_fr,agreement-type_en,agreement-type_fr,agreement-number,date-file-published
"0X001-230682-007 Commercial-off-the-Shelf E-Learning Content Optimal Market","Produits dapprentissage en ligne commerciaux Optimal Market","Electronic publications and music","Publications et musique électroniques",55111500,"OPTIMAL MARKET RISK MANAGEMENT ADVISORS INC","Optimal Market Risk Management Advisors Inc.",,"Canada School of Public Service","École de la fonction publique du Canada",2024-02-23,2027-02-17,CA,Canada,Canada,DISO,OCIM,CW2350522,"2026-03-12 22:50:02"
"EN578-231632 Non-competitive NMSO for guard services (Commissionaires)","EN578-231632 OCPN non compétitive pour services de gardes (Commissionnaires)","Security guard services","Services de gardiennage",92121504,COMMISSIONAIRES,Commissionaires,,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-20,2027-03-31,CA,Canada,Canada,NMSO,OCPN,CW2350642,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Legacy agreement: 2082169 ONTARIO INC (CW2319742-ACM_175617165).","M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Ancien accord : 2082169 ONTARIO INC (CW2319742-ACM_175617165).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"2082169 ONTARIO INC","2082169 ONTARIO INC",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-02-21,2028-06-03,CA-AB,Alberta,Alberta,SA,AMA,CW2350729,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Legacy agreement: 2082169 ONTARIO INC (CW2319742-ACM_175617165).","M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Ancien accord : 2082169 ONTARIO INC (CW2319742-ACM_175617165).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"2082169 ONTARIO INC","2082169 ONTARIO INC",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-02-21,2028-06-03,CA-MB,Manitoba,Manitoba,SA,AMA,CW2350729,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Legacy agreement: 2082169 ONTARIO INC (CW2319742-ACM_175617165).","M5000-234619 Enclosed Trailers - 2082169 ONTARIO INC 003 [M5000-234619 Remorques fermées - 2082169 ONTARIO INC 003]. Ancien accord : 2082169 ONTARIO INC (CW2319742-ACM_175617165).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"2082169 ONTARIO INC","2082169 ONTARIO INC",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-02-21,2028-06-03,CA-SK,Saskatchewan,Saskatchewan,SA,AMA,CW2350729,"2026-03-12 22:50:02"
"21C11-241356 Vinyl","21C11-241356 Vinyle","Fabrics and leather materials","Tissus et cuirs",11160000,"TRIDEN DISTRIBUTORS LIMITED","Triden Distributors Limited",,"Correctional Service of Canada","Service correctionnel du Canada",2025-12-22,2027-01-20,CA,Canada,Canada,NISO,OCIN,CW2350785,"2026-03-12 22:50:02"
"E60HN-16ELEC  E60HN-16ELEC/040/HN, Electrical & Electronic Products (Electrical and Electronic Equipment Components)  UNISOURCE. Legacy agreement: UNISOURCE TECHNOLOGY INC (CW2238059-ACM_149947238).","E60HN-16ELEC  E60HN-16ELEC/040/HN, Quincaillerie et fournitures électriques (Composants d'équipement électrique et électronique)  UNISOURCE. Ancien accord : UNISOURCE TECHNOLOGY INC (CW2238059-ACM_149947238).","Electronic hardware and component parts and accessories","Matériel électronique, accessoires et composants",32130000,"UNISOURCE TECHNOLOGY INC","UNISOURCE TECHNOLOGY INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-21,2030-12-30,CA,Canada,Canada,SA,AMA,CW2350952,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply - Boréal-Informations Stratégiques 2014 Inc (EN578-191593/017/ESS). Legacy agreement: BOREAL â INFORMATIONS STRATEGIQUES 2014 INC (CW2339627-ACM_185222606).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) â Boréal-Informations Stratégiques 2014 Inc (EN578-191593/017/ESS). Ancien accord : BOREAL â INFORMATIONS STRATEGIQUES 2014 INC (CW2339627-ACM_185222606).","Software, Cloud-based software as a service","Logiciels, Logiciel en nuage en tant que service","43230000, 81162000","BOREAL â INFORMATIONS STRATEGIQUES 2014 INC","Boreal â Informations Strategiques 2014 Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-28,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2351090,"2026-03-12 22:50:02"
"Radar Parts and Services","Pièces et services radar","Meteorological instruments","Instruments de météorologie",41114400,"LEONARDO GERMANY GMBH","LEONARDO Germany GmbH",,"Environment Canada","Environnement Canada",2024-03-13,2026-03-31,CA,Canada,Canada,NISO,OCIN,CW2351130,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply - DeepHow Corp (EN578-191593/026/ESS). Legacy agreement: DEEPHOW CORP (CW2339627-ACM_188781787).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) - DeepHow Corp (EN578-191593/026/ESS). Ancien accord : DEEPHOW CORP (CW2339627-ACM_188781787).","Cloud-based software as a service, Software","Logiciel en nuage en tant que service, Logiciels","81162000, 43230000","DEEPHOW CORP","DeepHow Corp.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-26,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2351437,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply â Carahsoft Canada (LinkedIn Corporation)  (EN578-191593/024/ESS). Legacy agreement: CARAHSOFT CANADA INC (CW2339627-ACM_182513711).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) â Carahsoft Canada (LinkedIn Corporation) (EN578-191593/024/ESS). Ancien accord : CARAHSOFT CANADA INC (CW2339627-ACM_182513711).","Software, Cloud-based software as a service","Logiciels, Logiciel en nuage en tant que service","43230000, 81162000","CARAHSOFT CANADA INC","Carahsoft Canada Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-04,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2351505,"2026-03-12 22:50:02"
"W3666-24N023 Catering Services RISO Sub","W3666-24N023 Services de traiteur OCIR sous","Restaurants and catering","Restaurants et traiteurs",90100000,"SAFFRON CATERING & PERSONAL CHEF SERVICES LTD","Saffron Catering & Personal Chef Services LTD",,"Department of National Defence","Ministère de la défense nationale",2024-08-02,2026-09-30,CA-AB,Alberta,Alberta,RISO,OCIR,CW2351569,"2026-03-12 22:50:02"
"Standing Offer CW2351613 - W3704-24-CL01.001 Responsive Maintenance Services - CFHA - Cold Lake","Offre a Commande CW2351613 - W3704-24-CL01.001 Services Entretien Correctif - ALFC- Cold Lake","Flooring, Plumbing system maintenance or repair, Landscaping services, Snow removal services, Heating and cooling and air conditioning HVAC construction and maintenance services, Residential painting service, Electrical system services, Carpentry services","Revêtement de sol, Entretien ou réparation de la plomberie, Services de paysager, Entretien ou réparations ou services pour places de parking ou routes, Services d'installation et d'entretien de systèmes de chauffage, de ventilation et de conditionnement","30161700, 72101510, 72102902, 72102903, 72151200, 72151301, 72151500, 72152300, 72152601, 76101600, 76110000, 76121900, 81141800","NAILS ENTERPRISES (2007) INC","Nails Enterprises (2007) Inc.",,"Department of National Defence","Ministère de la défense nationale",2024-04-01,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2351613,"2026-03-12 22:50:02"
"Lab and Sci Equipment - OSIS Medical Inc - E60PV-19EQUI/053/PV. Legacy agreement: OSIS MEDICAL INC (CW2243144-ACM_168660768).","Équipement de lab et sci - OSIS Medical Inc - E60PV-19EQUI/053/PV. Ancien accord : OSIS MEDICAL INC (CW2243144-ACM_168660768).","Power conditioning equipment, Laboratory and scientific equipment, Measuring and observing and testing instruments, Laboratory supplies and fixtures, Autoclave and sterilizer equipment and accessories","Équipements de conditionnement de courant, Équipements scientifiques et de laboratoire, Instruments d'essai, d'examen et de mesure, Fournitures et matériels de laboratoire, Équipements et accessoires pour autoclaves et stérilisateurs","39121000, 41100000, 41110000, 41120000, 42281500","OSIS MEDICAL INC","OSIS MEDICAL INC.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-27,2030-03-31,CA,Canada,Canada,SA,AMA,CW2351646,"2026-03-12 22:50:02"
"EN578-232335.164.SMS Carahsoft Canada Inc. (Fortra). Legacy agreement: CARAHSOFT CANADA INC (CW2309422-ACM_182513711-21).","EN578-232335.164.SMS Carahsoft Canada Inc. (Fortra). Ancien accord : CARAHSOFT CANADA INC (CW2309422-ACM_182513711-21).","Software, Software maintenance and support","Logiciels, Maintenance et support de logiciel","43230000, 81112200","CARAHSOFT CANADA INC","Carahsoft Canada Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-26,2028-09-29,CA,Canada,Canada,SA,AMA,CW2351731,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: M5 MARKETING COMMUNICATIONS (CW2241468-ACM_149297066).","Services de création publicitaire et planification/stratégie média. Ancien accord : M5 MARKETING COMMUNICATIONS (CW2241468-ACM_149297066).","Advertising agency services","Services publicitaires",82101800,"M5 MARKETING COMMUNICATIONS","m5 marketing communications",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351787,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: FEAST INTERACTIVE INC (CW2241468-ACM_148118962).","Services de création publicitaire et planification/stratégie média. Ancien accord : FEAST INTERACTIVE INC (CW2241468-ACM_148118962).","Advertising agency services","Services publicitaires",82101800,"FEAST INTERACTIVE INC","Feast Interactive Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351803,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: COSSETTE COMMUNICATION INC (CW2241468-ACM_178802363).","Services de création publicitaire et planification/stratégie média. Ancien accord : COSSETTE COMMUNICATION INC (CW2241468-ACM_178802363).","Advertising agency services","Services publicitaires",82101800,"COSSETTE COMMUNICATION INC","Cossette Communication inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351818,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: ACART COMMUNICATIONS INC (CW2241468-ACM_155692240).","Services de création publicitaire et planification/stratégie média. Ancien accord : ACART COMMUNICATIONS INC (CW2241468-ACM_155692240).","Advertising agency services","Services publicitaires",82101800,"ACART COMMUNICATIONS INC","Acart Communications Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351824,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: INNOCEAN CANADA (CW2241468-ACM_161262796).","Services de création publicitaire et planification/stratégie média. Ancien accord : INNOCEAN CANADA (CW2241468-ACM_161262796).","Advertising agency services","Services publicitaires",82101800,"INNOCEAN CANADA","Innocean Canada",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351827,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: PUBLICIS CANADA INC (CW2241468-ACM_184129019).","Services de création publicitaire et planification/stratégie média. Ancien accord : PUBLICIS CANADA INC (CW2241468-ACM_184129019).","Advertising agency services","Services publicitaires",82101800,"PUBLICIS CANADA INC","Publicis Canada Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351835,"2026-03-12 22:50:02"
"5P423-230126 (RISO) - Firewood - Requirement A","5P423-230126 (OCIR) - Bois de chauffage - Besoin A",Wood,Bois,11121600,"1469210 AB LDT","1469210 AB Ldt",,"Parks Canada","Parcs Canada",2024-02-21,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2351847,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: OPENGRAVITY INC (CW2241468-ACM_177190840).","Services de création publicitaire. Ancien accord : OPENGRAVITY INC (CW2241468-ACM_177190840).","Advertising agency services","Services publicitaires",82101800,"OPENGRAVITY INC","OpenGravity Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351901,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: BANFIELD-SEGUIN LTD (CW2241468-ACM_158043312).","Services de création publicitaire. Ancien accord : BANFIELD-SEGUIN LTD (CW2241468-ACM_158043312).","Advertising agency services","Services publicitaires",82101800,"BANFIELD-SEGUIN LTD","BANFIELD-SEGUIN LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351905,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: TARGET COMMUNICATIONS LIMITED (CW2241468-ACM_160748978).","Services de création publicitaire. Ancien accord : TARGET COMMUNICATIONS LIMITED (CW2241468-ACM_160748978).","Advertising agency services","Services publicitaires",82101800,"TARGET COMMUNICATIONS LIMITED","Target Communications Limited",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351907,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: TARGET MARKETING & COMMUNICATIONS INC (CW2241468-ACM_172646252).","Services de création publicitaire. Ancien accord : TARGET MARKETING & COMMUNICATIONS INC (CW2241468-ACM_172646252).","Advertising agency services","Services publicitaires",82101800,"TARGET MARKETING & COMMUNICATIONS INC","Target Marketing & Communications Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351914,"2026-03-12 22:50:02"
"Advertising Standing Offer - Ogilvy - AMD 001","Advertising Standing Offer - Ogilvy - AMD 001","Advertising agency services","Services publicitaires",82101800,"WPP GROUP CANADA COMMUNICATIONS ULC","WPP GROUP CANADA COMMUNICATIONS ULC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351920,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: AGENCY59 LTD (CW2241468-ACM_172690197).","Services de création publicitaire. Ancien accord : AGENCY59 LTD (CW2241468-ACM_172690197).","Advertising agency services","Services publicitaires",82101800,"AGENCY59 LTD","AGENCY59 LTD.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351923,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: QUILLER & BLAKE ADVERTISING LTD (CW2241468-ACM_153931711).","Services de création publicitaire. Ancien accord : QUILLER & BLAKE ADVERTISING LTD (CW2241468-ACM_153931711).","Advertising agency services","Services publicitaires",82101800,"QUILLER & BLAKE ADVERTISING LTD","QUILLER & BLAKE ADVERTISING LTD",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351925,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: ACCURATE DESIGN & COMMUNICATION INC (CW2241468-ACM_148119593).","Services de création publicitaire. Ancien accord : ACCURATE DESIGN & COMMUNICATION INC (CW2241468-ACM_148119593).","Advertising agency services","Services publicitaires",82101800,"ACCURATE DESIGN & COMMUNICATION INC","Accurate Design & Communication Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351931,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: WUNDERMAN THOMPSON CANADA ULC (CW2241468-ACM_185054374).","Services de création publicitaire. Ancien accord : WUNDERMAN THOMPSON CANADA ULC (CW2241468-ACM_185054374).","Advertising agency services","Services publicitaires",82101800,TAXI,TAXI,,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351935,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: FORSMAN&BODENFORS CANADA (CW2241468-ACM_178444246).","Services de création publicitaire. Ancien accord : FORSMAN&BODENFORS CANADA (CW2241468-ACM_178444246).","Advertising agency services","Services publicitaires",82101800,"FORSMAN & BODENFORS CANADA LP /FORSMAN & BODENFORS CANADA SEC","FORSMAN & BODENFORS CANADA LP /FORSMAN & BODENFORS CANADA SEC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2351939,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply- BNH Expert Engineering Software Inc (EN578-191593/30/ESS). Legacy agreement: BNH EXPERT ENGINEERING SOFTWARE INC (CW2339627-ACM_153155243).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) â BNH Expert Engineering Software Inc (EN578-191593/30/ESS). Ancien accord : BNH EXPERT ENGINEERING SOFTWARE INC (CW2339627-ACM_153155243).","Software, Cloud-based software as a service","Logiciels, Logiciel en nuage en tant que service","43230000, 81162000","BNH EXPERT ENGINEERING SOFTWARE INC","B.N.H. Expert Engineering .Software Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-02-29,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2351960,"2026-03-12 22:50:02"
"Standing Offer CW2352007 - W3704-24-CL01.002 Responsive Maintenance Services - CFHA - Cold Lake","Offre a Commande	CW2352007 - W3704-24-CL01.002 Services dentretien Correctif - ALFC- Cold Lake","Flooring, Plumbing system maintenance or repair, Landscaping services, Snow removal services, Heating and cooling and air conditioning HVAC construction and maintenance services, Residential painting service, Electrical system services, Carpentry services","Revêtement de sol, Entretien ou réparation de la plomberie, Services de paysager, Entretien ou réparations ou services pour places de parking ou routes, Services d'installation et d'entretien de systèmes de chauffage, de ventilation et de conditionnement","30161700, 72101510, 72102902, 72102903, 72151200, 72151301, 72151500, 72152300, 72152601, 76101600, 76110000, 76121900, 81141800","BARRON'S REFRIGERATION & HEATING LTD","Barron's Refrigeration & Heating Ltd.",,"Department of National Defence","Ministère de la défense nationale",2024-04-01,2026-03-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2352007,"2026-03-12 22:50:02"
"W0127-23P014 CARGO AND PASSENGER VEHICLE RENTAL FOR OPERATIONAL USE DISO 1","W0127-23P014  LOCATION DE VÉHICULES POUR LE TRANSPORT DE PASSAGERS ET DE MARCHANDISES À DES FINS OPÉRATIONNELLES OCIM","Vehicle rental","Location de véhicules",78111808,"DRIVING FORCE","DRIVING FORCE",,"Department of National Defence","Ministère de la défense nationale",2024-03-13,2027-01-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2352166,"2026-03-12 22:50:02"
"W0127-23P014 CARGO and PASSENGER VEHICLE RENTAL FOR OPERATIONAL USE DISO 2","W0127-23P014  LOCATION DE VÉHICULES POUR LE TRANSPORT DE PASSAGERS ET DE MARCHANDISES À DES FINS OPÉRATIONNELLES OCIM","Vehicle rental","Location de véhicules",78111808,"AVIS BUDGET","Avis Budget",,"Department of National Defence","Ministère de la défense nationale",2024-03-13,2027-01-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2352168,"2026-03-12 22:50:02"
"W0127-23P014  CARGO and PASSENGER VEHICLE RENTAL FOR OPERATIONAL USE DISO 3","W0127-23P014  LOCATION DE VÉHICULES POUR LE TRANSPORT DE PASSAGERS ET DE MARCHANDISES À DES FINS OPÉRATIONNELLES OCIM","Vehicle rental","Location de véhicules",78111808,"ENTERPRISE RENT-A-CAR CANADA COMPANY/LA COMPAGNIE DE LOCATION D'AUTOS ENTERPRISE CANADA","ENTERPRISE RENT-A-CAR CANADA COMPANY/LA COMPAGNIE DE LOCATION D'AUTOS ENTERPRISE CANADA",,"Department of National Defence","Ministère de la défense nationale",2024-03-13,2027-01-31,CA-AB,Alberta,Alberta,RISO,OCIR,CW2352171,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Legacy agreement: CROMER VALLEY STORE (CW2319742-ACM_160633225).","M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Ancien accord : CROMER VALLEY STORE (CW2319742-ACM_160633225).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"CROMER VALLEY STORE","CROMER VALLEY STORE",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-03-04,2028-06-03,CA-AB,Alberta,Alberta,SA,AMA,CW2352250,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Legacy agreement: CROMER VALLEY STORE (CW2319742-ACM_160633225).","M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Ancien accord : CROMER VALLEY STORE (CW2319742-ACM_160633225).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"CROMER VALLEY STORE","CROMER VALLEY STORE",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-03-04,2028-06-03,CA-MB,Manitoba,Manitoba,SA,AMA,CW2352250,"2026-03-12 22:50:02"
"M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Legacy agreement: CROMER VALLEY STORE (CW2319742-ACM_160633225).","M5000-234619 Enclosed Trailers - CROMER VALLEY STORE 004 [M5000-234619 Remorques fermées - CROMER VALLEY STORE 004]. Ancien accord : CROMER VALLEY STORE (CW2319742-ACM_160633225).","Product and material trailers","Remorques pour marchandises et matériaux",25181700,"CROMER VALLEY STORE","CROMER VALLEY STORE",,"Royal Canadian Mounted Police","Gendarmerie royale du Canada",2024-03-04,2028-06-03,CA-SK,Saskatchewan,Saskatchewan,SA,AMA,CW2352250,"2026-03-12 22:50:02"
"Advertising Creative Services. Legacy agreement: SID LEE (CW2241468-ACM_184309074).","Services de création publicitaire. Ancien accord : SID LEE (CW2241468-ACM_184309074).","Advertising agency services","Services publicitaires",82101800,"SID LEE","Sid Lee",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,DISO,OCIM,CW2352285,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply - Thrive Health Inc (EN578-191593/020/ESS). Legacy agreement: THRIVE HEALTH INC (CW2339627-ACM_176033391).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) â Thrive Health Inc (EN578-191593/020/ESS). Ancien accord : THRIVE HEALTH INC (CW2339627-ACM_176033391).","Software, Cloud-based software as a service","Logiciels, Logiciel en nuage en tant que service","43230000, 81162000","THRIVE HEALTH INC","Thrive Health Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-04-09,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2352559,"2026-03-12 22:50:02"
"EN578-232335.161.SMS - Ricoh Canada Inc. (PaperCut). Legacy agreement: RICOH CANADA INC (CW2309422-ACM_156999777-4).","EN578-232335.161.SMS - Ricoh Canada Inc. (PaperCut). Ancien accord : RICOH CANADA INC (CW2309422-ACM_156999777-4).","Software, Software maintenance and support","Logiciels, Maintenance et support de logiciel","43230000, 81112200","RICOH CANADA INC","RICOH CANADA INC",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-04,2028-09-29,CA,Canada,Canada,SA,AMA,CW2352697,"2026-03-12 22:50:02"
"PSPC Cloud Method of Supply - Oxaro Inc (EN578-191593/034/ESS).","DAMA â Méthode dâapprovisionnement de logiciels-services (Infonuagiques GC) â Oxaro Inc (EN578-191593/034/ESS).","Software, Cloud-based software as a service","Logiciels, Logiciel en nuage en tant que service","43230000, 81162000","OXARO INC","OXARO Inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-11,2028-09-30,RCN-NCR,"National Capital Region","Région de la capitale nationale",SA,AMA,CW2352706,"2026-03-12 22:50:02"
"F3773-230040 - Standing offer for boats maintenance and repair service","F3773-230040 - Offre à commande de service d'entretien et de réparation pour embarcations","Dinghies, Marine craft systems and subassemblies","Canots pneumatiques, Systèmes et sous-ensembles pour embarcations","25111807, 25111900","CHANTIER BLYACHT INC","CHANTIER BLYACHT INC",,"Fisheries and Oceans Canada","Pêches et Océans Canada",2024-07-26,2026-08-31,CA-QC,Quebec,Québec,RISO,OCIR,CW2352745,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: M5 MARKETING COMMUNICATIONS (CW2352760-ACM_172793505).","Services de création publicitaire et planification/stratégie média. Ancien accord : M5 MARKETING COMMUNICATIONS (CW2352760-ACM_172793505).","Advertising agency services","Services publicitaires",82101800,"M5 MARKETING COMMUNICATIONS","m5 marketing communications",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352765,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: COSSETTE COMMUNICATION INC (CW2352760-ACM_178802363).","Services de création publicitaire et planification/stratégie média. Ancien accord : COSSETTE COMMUNICATION INC (CW2352760-ACM_178802363).","Advertising agency services","Services publicitaires",82101800,"COSSETTE COMMUNICATION INC","Cossette Communication inc.",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352770,"2026-03-12 22:50:02"
"Advertising Creative Services and Media Planning/Strategy. Legacy agreement: FEAST INTERACTIVE INC (CW2352760-ACM_148118962).","Services de création publicitaire et planification/stratégie média. Ancien accord : FEAST INTERACTIVE INC (CW2352760-ACM_148118962).","Advertising agency services","Services publicitaires",82101800,"FEAST INTERACTIVE INC","Feast Interactive Inc",,"Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada",2024-03-01,2026-06-30,CA,Canada,Canada,SA,AMA,CW2352773,"2026-03-12 22:50:02"
